"","Reporting unit","Reporting unit type","State","Peer group","Time period","Patient cohort","Number of patients","Percentage of patients seen on time","Peer group average"
"746","Goulburn Base Hospital","Hospital","NSW","Medium regional hospitals","2019–20","Resuscitation",76,100,"100%"
"747","Goulburn Base Hospital","Hospital","NSW","Medium regional hospitals","2011–12","Semi-Urgent",6720,66,"78%"
"748","Goulburn Base Hospital","Hospital","NSW","Medium regional hospitals","2012–13","Semi-Urgent",6499,66,"82%"
"749","Goulburn Base Hospital","Hospital","NSW","Medium regional hospitals","2013–14","Semi-Urgent",6508,74,"80%"
"750","Goulburn Base Hospital","Hospital","NSW","Medium regional hospitals","2014–15","Semi-Urgent",6136,72,"81%"
"751","Goulburn Base Hospital","Hospital","NSW","Medium regional hospitals","2015–16","Semi-Urgent",5864,66,"80%"
"752","Goulburn Base Hospital","Hospital","NSW","Medium regional hospitals","2016–17","Semi-Urgent",6581,77,"79%"
"753","Goulburn Base Hospital","Hospital","NSW","Medium regional hospitals","2017–18","Semi-Urgent",6656,73,"78%"
"754","Goulburn Base Hospital","Hospital","NSW","Medium regional hospitals","2018–19","Semi-Urgent",7154,72,"77%"
"755","Goulburn Base Hospital","Hospital","NSW","Medium regional hospitals","2019–20","Semi-Urgent",7673,76,"77%"
"756","Goulburn Base Hospital","Hospital","NSW","Medium regional hospitals","2011–12","Urgent",5709,58,"78%"
"757","Goulburn Base Hospital","Hospital","NSW","Medium regional hospitals","2012–13","Urgent",5662,58,"81%"
"758","Goulburn Base Hospital","Hospital","NSW","Medium regional hospitals","2013–14","Urgent",5744,67,"80%"
"759","Goulburn Base Hospital","Hospital","NSW","Medium regional hospitals","2014–15","Urgent",5958,67,"79%"
"760","Goulburn Base Hospital","Hospital","NSW","Medium regional hospitals","2015–16","Urgent",6279,61,"77%"
"761","Goulburn Base Hospital","Hospital","NSW","Medium regional hospitals","2016–17","Urgent",6539,79,"77%"
"762","Goulburn Base Hospital","Hospital","NSW","Medium regional hospitals","2017–18","Urgent",7164,70,"75%"
"763","Goulburn Base Hospital","Hospital","NSW","Medium regional hospitals","2018–19","Urgent",6845,71,"74%"
"764","Goulburn Base Hospital","Hospital","NSW","Medium regional hospitals","2019–20","Urgent",6608,75,"72%"
"765","Grafton Base Hospital","Hospital","NSW","Medium regional hospitals","2011–12","Emergency",2133,78,"83%"
"766","Grafton Base Hospital","Hospital","NSW","Medium regional hospitals","2012–13","Emergency",2268,78,"87%"
"767","Grafton Base Hospital","Hospital","NSW","Medium regional hospitals","2013–14","Emergency",2122,68,"85%"
"768","Grafton Base Hospital","Hospital","NSW","Medium regional hospitals","2014–15","Emergency",1983,70,"86%"
"769","Grafton Base Hospital","Hospital","NSW","Medium regional hospitals","2015–16","Emergency",2232,54,"83%"
"770","Grafton Base Hospital","Hospital","NSW","Medium regional hospitals","2016–17","Emergency",2332,69,"84%"
"771","Grafton Base Hospital","Hospital","NSW","Medium regional hospitals","2017–18","Emergency",2331,72,"84%"
"772","Grafton Base Hospital","Hospital","NSW","Medium regional hospitals","2018–19","Emergency",2795,73,"82%"
"773","Grafton Base Hospital","Hospital","NSW","Medium regional hospitals","2019–20","Emergency",2418,71,"81%"
"774","Grafton Base Hospital","Hospital","NSW","Medium regional hospitals","2011–12","Non-Urgent",1730,NA,"92%"
"775","Grafton Base Hospital","Hospital","NSW","Medium regional hospitals","2012–13","Non-Urgent",2504,NA,"94%"
"776","Grafton Base Hospital","Hospital","NSW","Medium regional hospitals","2013–14","Non-Urgent",2577,NA,"94%"
"777","Grafton Base Hospital","Hospital","NSW","Medium regional hospitals","2014–15","Non-Urgent",2541,NA,"95%"
"778","Grafton Base Hospital","Hospital","NSW","Medium regional hospitals","2015–16","Non-Urgent",2487,92,"95%"
"779","Grafton Base Hospital","Hospital","NSW","Medium regional hospitals","2016–17","Non-Urgent",3025,95,"95%"
"780","Grafton Base Hospital","Hospital","NSW","Medium regional hospitals","2017–18","Non-Urgent",3529,93,"94%"
"781","Grafton Base Hospital","Hospital","NSW","Medium regional hospitals","2018–19","Non-Urgent",3180,93,"94%"
"782","Grafton Base Hospital","Hospital","NSW","Medium regional hospitals","2019–20","Non-Urgent",3781,93,"94%"
"783","Grafton Base Hospital","Hospital","NSW","Medium regional hospitals","2011–12","Resuscitation",69,100,"99%"
"784","Grafton Base Hospital","Hospital","NSW","Medium regional hospitals","2012–13","Resuscitation",78,100,"100%"
"785","Grafton Base Hospital","Hospital","NSW","Medium regional hospitals","2013–14","Resuscitation",51,100,"100%"
"786","Grafton Base Hospital","Hospital","NSW","Medium regional hospitals","2014–15","Resuscitation",61,100,"99%"
"787","Grafton Base Hospital","Hospital","NSW","Medium regional hospitals","2015–16","Resuscitation",47,100,"100%"
"788","Grafton Base Hospital","Hospital","NSW","Medium regional hospitals","2016–17","Resuscitation",83,100,"99%"
"789","Grafton Base Hospital","Hospital","NSW","Medium regional hospitals","2017–18","Resuscitation",148,100,"100%"
"790","Grafton Base Hospital","Hospital","NSW","Medium regional hospitals","2018–19","Resuscitation",169,100,"100%"
"791","Grafton Base Hospital","Hospital","NSW","Medium regional hospitals","2019–20","Resuscitation",134,100,"100%"
"792","Grafton Base Hospital","Hospital","NSW","Medium regional hospitals","2011–12","Semi-Urgent",7031,63,"78%"
"793","Grafton Base Hospital","Hospital","NSW","Medium regional hospitals","2012–13","Semi-Urgent",7628,78,"82%"
"794","Grafton Base Hospital","Hospital","NSW","Medium regional hospitals","2013–14","Semi-Urgent",8308,76,"80%"
"795","Grafton Base Hospital","Hospital","NSW","Medium regional hospitals","2014–15","Semi-Urgent",9121,71,"81%"
"796","Grafton Base Hospital","Hospital","NSW","Medium regional hospitals","2015–16","Semi-Urgent",9311,75,"80%"
"797","Grafton Base Hospital","Hospital","NSW","Medium regional hospitals","2016–17","Semi-Urgent",10049,77,"79%"
"798","Grafton Base Hospital","Hospital","NSW","Medium regional hospitals","2017–18","Semi-Urgent",10833,76,"78%"
"799","Grafton Base Hospital","Hospital","NSW","Medium regional hospitals","2018–19","Semi-Urgent",11392,76,"77%"
"800","Grafton Base Hospital","Hospital","NSW","Medium regional hospitals","2019–20","Semi-Urgent",11790,75,"77%"
"801","Grafton Base Hospital","Hospital","NSW","Medium regional hospitals","2011–12","Urgent",8541,68,"78%"
"802","Grafton Base Hospital","Hospital","NSW","Medium regional hospitals","2012–13","Urgent",7698,74,"81%"
"803","Grafton Base Hospital","Hospital","NSW","Medium regional hospitals","2013–14","Urgent",7379,71,"80%"
"804","Grafton Base Hospital","Hospital","NSW","Medium regional hospitals","2014–15","Urgent",7446,65,"79%"
"805","Grafton Base Hospital","Hospital","NSW","Medium regional hospitals","2015–16","Urgent",7643,65,"77%"
"806","Grafton Base Hospital","Hospital","NSW","Medium regional hospitals","2016–17","Urgent",7179,70,"77%"
"807","Grafton Base Hospital","Hospital","NSW","Medium regional hospitals","2017–18","Urgent",6823,74,"75%"
"808","Grafton Base Hospital","Hospital","NSW","Medium regional hospitals","2018–19","Urgent",6967,78,"74%"
"809","Grafton Base Hospital","Hospital","NSW","Medium regional hospitals","2019–20","Urgent",7383,71,"72%"
"810","Griffith Base Hospital","Hospital","NSW","Large regional hospitals","2011–12","Emergency",1243,90,"80%"
"811","Griffith Base Hospital","Hospital","NSW","Large regional hospitals","2012–13","Emergency",1271,86,"83%"
"812","Griffith Base Hospital","Hospital","NSW","Large regional hospitals","2013–14","Emergency",1340,87,"85%"
"813","Griffith Base Hospital","Hospital","NSW","Large regional hospitals","2014–15","Emergency",1280,87,"83%"
"814","Griffith Base Hospital","Hospital","NSW","Large regional hospitals","2015–16","Emergency",1357,88,"83%"
"815","Griffith Base Hospital","Hospital","NSW","Large regional hospitals","2016–17","Emergency",1911,80,"81%"
"816","Griffith Base Hospital","Hospital","NSW","Large regional hospitals","2017–18","Emergency",2089,84,"80%"
"817","Griffith Base Hospital","Hospital","NSW","Large regional hospitals","2018–19","Emergency",2613,96,"79%"
"818","Griffith Base Hospital","Hospital","NSW","Large regional hospitals","2019–20","Emergency",2695,95,"77%"
"819","Griffith Base Hospital","Hospital","NSW","Large regional hospitals","2011–12","Non-Urgent",935,87,"88%"
"820","Griffith Base Hospital","Hospital","NSW","Large regional hospitals","2012–13","Non-Urgent",693,NA,"90%"
"821","Griffith Base Hospital","Hospital","NSW","Large regional hospitals","2013–14","Non-Urgent",840,NA,"91%"
"822","Griffith Base Hospital","Hospital","NSW","Large regional hospitals","2014–15","Non-Urgent",1094,94,"92%"
"823","Griffith Base Hospital","Hospital","NSW","Large regional hospitals","2015–16","Non-Urgent",1352,94,"92%"
"824","Griffith Base Hospital","Hospital","NSW","Large regional hospitals","2016–17","Non-Urgent",1533,96,"91%"
"825","Griffith Base Hospital","Hospital","NSW","Large regional hospitals","2017–18","Non-Urgent",2158,94,"91%"
"826","Griffith Base Hospital","Hospital","NSW","Large regional hospitals","2018–19","Non-Urgent",1886,91,"91%"
"827","Griffith Base Hospital","Hospital","NSW","Large regional hospitals","2019–20","Non-Urgent",2122,90,"92%"
"828","Griffith Base Hospital","Hospital","NSW","Large regional hospitals","2011–12","Resuscitation",111,100,"100%"
"829","Griffith Base Hospital","Hospital","NSW","Large regional hospitals","2012–13","Resuscitation",87,100,"100%"
"830","Griffith Base Hospital","Hospital","NSW","Large regional hospitals","2013–14","Resuscitation",93,100,"100%"
"831","Griffith Base Hospital","Hospital","NSW","Large regional hospitals","2014–15","Resuscitation",77,100,"100%"
"832","Griffith Base Hospital","Hospital","NSW","Large regional hospitals","2015–16","Resuscitation",101,100,"100%"
"833","Griffith Base Hospital","Hospital","NSW","Large regional hospitals","2016–17","Resuscitation",122,100,"100%"
"834","Griffith Base Hospital","Hospital","NSW","Large regional hospitals","2017–18","Resuscitation",140,100,"100%"
"835","Griffith Base Hospital","Hospital","NSW","Large regional hospitals","2018–19","Resuscitation",187,100,"100%"
"836","Griffith Base Hospital","Hospital","NSW","Large regional hospitals","2019–20","Resuscitation",167,100,"100%"
"837","Griffith Base Hospital","Hospital","NSW","Large regional hospitals","2011–12","Semi-Urgent",8581,73,"71%"
"838","Griffith Base Hospital","Hospital","NSW","Large regional hospitals","2012–13","Semi-Urgent",8160,77,"74%"
"839","Griffith Base Hospital","Hospital","NSW","Large regional hospitals","2013–14","Semi-Urgent",8038,76,"75%"
"840","Griffith Base Hospital","Hospital","NSW","Large regional hospitals","2014–15","Semi-Urgent",8010,79,"74%"
"841","Griffith Base Hospital","Hospital","NSW","Large regional hospitals","2015–16","Semi-Urgent",8542,79,"73%"
"842","Griffith Base Hospital","Hospital","NSW","Large regional hospitals","2016–17","Semi-Urgent",7574,83,"73%"
"843","Griffith Base Hospital","Hospital","NSW","Large regional hospitals","2017–18","Semi-Urgent",7162,83,"73%"
"844","Griffith Base Hospital","Hospital","NSW","Large regional hospitals","2018–19","Semi-Urgent",7962,83,"73%"
"845","Griffith Base Hospital","Hospital","NSW","Large regional hospitals","2019–20","Semi-Urgent",8786,84,"75%"
"846","Griffith Base Hospital","Hospital","NSW","Large regional hospitals","2011–12","Urgent",7089,75,"70%"
"847","Griffith Base Hospital","Hospital","NSW","Large regional hospitals","2012–13","Urgent",7543,76,"74%"
"848","Griffith Base Hospital","Hospital","NSW","Large regional hospitals","2013–14","Urgent",6852,76,"75%"
"849","Griffith Base Hospital","Hospital","NSW","Large regional hospitals","2014–15","Urgent",6664,77,"74%"
"850","Griffith Base Hospital","Hospital","NSW","Large regional hospitals","2015–16","Urgent",6995,76,"71%"
"851","Griffith Base Hospital","Hospital","NSW","Large regional hospitals","2016–17","Urgent",8166,77,"71%"
"852","Griffith Base Hospital","Hospital","NSW","Large regional hospitals","2017–18","Urgent",7691,81,"70%"
"853","Griffith Base Hospital","Hospital","NSW","Large regional hospitals","2018–19","Urgent",7839,79,"68%"
"854","Griffith Base Hospital","Hospital","NSW","Large regional hospitals","2019–20","Urgent",8198,86,"70%"
"855","Hawkesbury Hospital","Hospital","NSW","Medium metropolitan hospitals","2011–12","Emergency",1916,84,"79%"
"856","Hawkesbury Hospital","Hospital","NSW","Medium metropolitan hospitals","2012–13","Emergency",1795,87,"81%"
"857","Hawkesbury Hospital","Hospital","NSW","Medium metropolitan hospitals","2013–14","Emergency",1828,89,"83%"
"858","Hawkesbury Hospital","Hospital","NSW","Medium metropolitan hospitals","2014–15","Emergency",1935,88,"80%"
"859","Hawkesbury Hospital","Hospital","NSW","Medium metropolitan hospitals","2015–16","Emergency",2094,86,"77%"
"860","Hawkesbury Hospital","Hospital","NSW","Medium metropolitan hospitals","2016–17","Emergency",2545,88,"79%"
"861","Hawkesbury Hospital","Hospital","NSW","Medium metropolitan hospitals","2017–18","Emergency",3188,72,"77%"
"862","Hawkesbury Hospital","Hospital","NSW","Medium metropolitan hospitals","2018–19","Emergency",3571,70,"75%"
"863","Hawkesbury Hospital","Hospital","NSW","Medium metropolitan hospitals","2019–20","Emergency",3649,81,"71%"
"864","Hawkesbury Hospital","Hospital","NSW","Medium metropolitan hospitals","2011–12","Non-Urgent",1168,94,"91%"
"865","Hawkesbury Hospital","Hospital","NSW","Medium metropolitan hospitals","2012–13","Non-Urgent",1453,96,"92%"
"866","Hawkesbury Hospital","Hospital","NSW","Medium metropolitan hospitals","2013–14","Non-Urgent",2542,96,"92%"
"867","Hawkesbury Hospital","Hospital","NSW","Medium metropolitan hospitals","2014–15","Non-Urgent",2599,96,"91%"
"868","Hawkesbury Hospital","Hospital","NSW","Medium metropolitan hospitals","2015–16","Non-Urgent",2266,97,"91%"
"869","Hawkesbury Hospital","Hospital","NSW","Medium metropolitan hospitals","2016–17","Non-Urgent",1410,97,"90%"
"870","Hawkesbury Hospital","Hospital","NSW","Medium metropolitan hospitals","2017–18","Non-Urgent",1412,97,"90%"
"871","Hawkesbury Hospital","Hospital","NSW","Medium metropolitan hospitals","2018–19","Non-Urgent",962,97,"89%"
"872","Hawkesbury Hospital","Hospital","NSW","Medium metropolitan hospitals","2019–20","Non-Urgent",1429,97,"90%"
"873","Hawkesbury Hospital","Hospital","NSW","Medium metropolitan hospitals","2011–12","Resuscitation",68,100,"99%"
"874","Hawkesbury Hospital","Hospital","NSW","Medium metropolitan hospitals","2012–13","Resuscitation",77,100,"100%"
"875","Hawkesbury Hospital","Hospital","NSW","Medium metropolitan hospitals","2013–14","Resuscitation",73,100,"100%"
"876","Hawkesbury Hospital","Hospital","NSW","Medium metropolitan hospitals","2014–15","Resuscitation",69,100,"99%"
"877","Hawkesbury Hospital","Hospital","NSW","Medium metropolitan hospitals","2015–16","Resuscitation",65,100,"100%"
"878","Hawkesbury Hospital","Hospital","NSW","Medium metropolitan hospitals","2016–17","Resuscitation",98,100,"100%"
"879","Hawkesbury Hospital","Hospital","NSW","Medium metropolitan hospitals","2017–18","Resuscitation",89,100,"100%"
"880","Hawkesbury Hospital","Hospital","NSW","Medium metropolitan hospitals","2018–19","Resuscitation",88,100,"100%"
"881","Hawkesbury Hospital","Hospital","NSW","Medium metropolitan hospitals","2019–20","Resuscitation",59,100,"100%"
"882","Hawkesbury Hospital","Hospital","NSW","Medium metropolitan hospitals","2011–12","Semi-Urgent",7404,91,"69%"
"883","Hawkesbury Hospital","Hospital","NSW","Medium metropolitan hospitals","2012–13","Semi-Urgent",7637,92,"71%"
"884","Hawkesbury Hospital","Hospital","NSW","Medium metropolitan hospitals","2013–14","Semi-Urgent",10277,94,"74%"
"885","Hawkesbury Hospital","Hospital","NSW","Medium metropolitan hospitals","2014–15","Semi-Urgent",10990,95,"73%"
"886","Hawkesbury Hospital","Hospital","NSW","Medium metropolitan hospitals","2015–16","Semi-Urgent",11400,94,"72%"
"887","Hawkesbury Hospital","Hospital","NSW","Medium metropolitan hospitals","2016–17","Semi-Urgent",11770,92,"73%"
"888","Hawkesbury Hospital","Hospital","NSW","Medium metropolitan hospitals","2017–18","Semi-Urgent",12095,89,"72%"
"889","Hawkesbury Hospital","Hospital","NSW","Medium metropolitan hospitals","2018–19","Semi-Urgent",12888,85,"71%"
"890","Hawkesbury Hospital","Hospital","NSW","Medium metropolitan hospitals","2019–20","Semi-Urgent",12442,87,"74%"
"891","Hawkesbury Hospital","Hospital","NSW","Medium metropolitan hospitals","2011–12","Urgent",8435,89,"67%"
"892","Hawkesbury Hospital","Hospital","NSW","Medium metropolitan hospitals","2012–13","Urgent",7011,91,"66%"
"893","Hawkesbury Hospital","Hospital","NSW","Medium metropolitan hospitals","2013–14","Urgent",5650,93,"68%"
"894","Hawkesbury Hospital","Hospital","NSW","Medium metropolitan hospitals","2014–15","Urgent",5781,94,"66%"
"895","Hawkesbury Hospital","Hospital","NSW","Medium metropolitan hospitals","2015–16","Urgent",5983,93,"65%"
"896","Hawkesbury Hospital","Hospital","NSW","Medium metropolitan hospitals","2016–17","Urgent",6882,92,"65%"
"897","Hawkesbury Hospital","Hospital","NSW","Medium metropolitan hospitals","2017–18","Urgent",7272,85,"63%"
"898","Hawkesbury Hospital","Hospital","NSW","Medium metropolitan hospitals","2018–19","Urgent",8108,80,"63%"
"899","Hawkesbury Hospital","Hospital","NSW","Medium metropolitan hospitals","2019–20","Urgent",8941,82,"67%"
"900","Hornsby Ku-ring-gai Hospital","Hospital","NSW","Large metropolitan hospitals","2011–12","Emergency",3096,77,"81%"
"901","Hornsby Ku-ring-gai Hospital","Hospital","NSW","Large metropolitan hospitals","2012–13","Emergency",3290,98,"84%"
"902","Hornsby Ku-ring-gai Hospital","Hospital","NSW","Large metropolitan hospitals","2013–14","Emergency",3809,100,"84%"
"903","Hornsby Ku-ring-gai Hospital","Hospital","NSW","Large metropolitan hospitals","2014–15","Emergency",4915,97,"80%"
"904","Hornsby Ku-ring-gai Hospital","Hospital","NSW","Large metropolitan hospitals","2015–16","Emergency",5291,92,"77%"
"905","Hornsby Ku-ring-gai Hospital","Hospital","NSW","Large metropolitan hospitals","2016–17","Emergency",5341,92,"76%"
"906","Hornsby Ku-ring-gai Hospital","Hospital","NSW","Large metropolitan hospitals","2017–18","Emergency",5784,91,"77%"
"907","Hornsby Ku-ring-gai Hospital","Hospital","NSW","Large metropolitan hospitals","2018–19","Emergency",6167,88,"76%"
"908","Hornsby Ku-ring-gai Hospital","Hospital","NSW","Large metropolitan hospitals","2019–20","Emergency",5969,89,"77%"
"909","Hornsby Ku-ring-gai Hospital","Hospital","NSW","Large metropolitan hospitals","2011–12","Non-Urgent",4614,82,"89%"
"910","Hornsby Ku-ring-gai Hospital","Hospital","NSW","Large metropolitan hospitals","2012–13","Non-Urgent",6343,91,"90%"
"911","Hornsby Ku-ring-gai Hospital","Hospital","NSW","Large metropolitan hospitals","2013–14","Non-Urgent",6763,96,"92%"
"912","Hornsby Ku-ring-gai Hospital","Hospital","NSW","Large metropolitan hospitals","2014–15","Non-Urgent",6906,96,"92%"
"913","Hornsby Ku-ring-gai Hospital","Hospital","NSW","Large metropolitan hospitals","2015–16","Non-Urgent",6337,95,"92%"
"914","Hornsby Ku-ring-gai Hospital","Hospital","NSW","Large metropolitan hospitals","2016–17","Non-Urgent",6486,95,"92%"
"915","Hornsby Ku-ring-gai Hospital","Hospital","NSW","Large metropolitan hospitals","2017–18","Non-Urgent",6358,96,"92%"
"916","Hornsby Ku-ring-gai Hospital","Hospital","NSW","Large metropolitan hospitals","2018–19","Non-Urgent",6755,95,"91%"
"917","Hornsby Ku-ring-gai Hospital","Hospital","NSW","Large metropolitan hospitals","2019–20","Non-Urgent",6644,97,"94%"
"918","Hornsby Ku-ring-gai Hospital","Hospital","NSW","Large metropolitan hospitals","2011–12","Resuscitation",90,100,"100%"
"919","Hornsby Ku-ring-gai Hospital","Hospital","NSW","Large metropolitan hospitals","2012–13","Resuscitation",111,100,"100%"
"920","Hornsby Ku-ring-gai Hospital","Hospital","NSW","Large metropolitan hospitals","2013–14","Resuscitation",102,100,"100%"
"921","Hornsby Ku-ring-gai Hospital","Hospital","NSW","Large metropolitan hospitals","2014–15","Resuscitation",102,100,"100%"
"922","Hornsby Ku-ring-gai Hospital","Hospital","NSW","Large metropolitan hospitals","2015–16","Resuscitation",138,100,"100%"
"923","Hornsby Ku-ring-gai Hospital","Hospital","NSW","Large metropolitan hospitals","2016–17","Resuscitation",149,100,"100%"
"924","Hornsby Ku-ring-gai Hospital","Hospital","NSW","Large metropolitan hospitals","2017–18","Resuscitation",161,100,"100%"
"925","Hornsby Ku-ring-gai Hospital","Hospital","NSW","Large metropolitan hospitals","2018–19","Resuscitation",227,100,"100%"
"926","Hornsby Ku-ring-gai Hospital","Hospital","NSW","Large metropolitan hospitals","2019–20","Resuscitation",281,100,"100%"
"927","Hornsby Ku-ring-gai Hospital","Hospital","NSW","Large metropolitan hospitals","2011–12","Semi-Urgent",14229,64,"66%"
"928","Hornsby Ku-ring-gai Hospital","Hospital","NSW","Large metropolitan hospitals","2012–13","Semi-Urgent",15134,78,"68%"
"929","Hornsby Ku-ring-gai Hospital","Hospital","NSW","Large metropolitan hospitals","2013–14","Semi-Urgent",17220,86,"72%"
"930","Hornsby Ku-ring-gai Hospital","Hospital","NSW","Large metropolitan hospitals","2014–15","Semi-Urgent",17161,89,"72%"
"931","Hornsby Ku-ring-gai Hospital","Hospital","NSW","Large metropolitan hospitals","2015–16","Semi-Urgent",16533,85,"73%"
"932","Hornsby Ku-ring-gai Hospital","Hospital","NSW","Large metropolitan hospitals","2016–17","Semi-Urgent",17506,86,"73%"
"933","Hornsby Ku-ring-gai Hospital","Hospital","NSW","Large metropolitan hospitals","2017–18","Semi-Urgent",18242,87,"72%"
"934","Hornsby Ku-ring-gai Hospital","Hospital","NSW","Large metropolitan hospitals","2018–19","Semi-Urgent",18482,86,"71%"
"935","Hornsby Ku-ring-gai Hospital","Hospital","NSW","Large metropolitan hospitals","2019–20","Semi-Urgent",18992,87,"74%"
"936","Hornsby Ku-ring-gai Hospital","Hospital","NSW","Large metropolitan hospitals","2011–12","Urgent",7389,59,"62%"
"937","Hornsby Ku-ring-gai Hospital","Hospital","NSW","Large metropolitan hospitals","2012–13","Urgent",7258,73,"63%"
"938","Hornsby Ku-ring-gai Hospital","Hospital","NSW","Large metropolitan hospitals","2013–14","Urgent",7633,82,"65%"
"939","Hornsby Ku-ring-gai Hospital","Hospital","NSW","Large metropolitan hospitals","2014–15","Urgent",7864,84,"63%"
"940","Hornsby Ku-ring-gai Hospital","Hospital","NSW","Large metropolitan hospitals","2015–16","Urgent",8240,82,"63%"
"941","Hornsby Ku-ring-gai Hospital","Hospital","NSW","Large metropolitan hospitals","2016–17","Urgent",8787,82,"61%"
"942","Hornsby Ku-ring-gai Hospital","Hospital","NSW","Large metropolitan hospitals","2017–18","Urgent",9015,85,"60%"
"943","Hornsby Ku-ring-gai Hospital","Hospital","NSW","Large metropolitan hospitals","2018–19","Urgent",9099,83,"59%"
"944","Hornsby Ku-ring-gai Hospital","Hospital","NSW","Large metropolitan hospitals","2019–20","Urgent",9252,83,"64%"
"945","Kempsey District Hospital","Hospital","NSW","Medium regional hospitals","2011–12","Emergency",1940,85,"83%"
"946","Kempsey District Hospital","Hospital","NSW","Medium regional hospitals","2012–13","Emergency",2102,86,"87%"
"947","Kempsey District Hospital","Hospital","NSW","Medium regional hospitals","2013–14","Emergency",2350,89,"85%"
"948","Kempsey District Hospital","Hospital","NSW","Medium regional hospitals","2014–15","Emergency",2255,86,"86%"
"949","Kempsey District Hospital","Hospital","NSW","Medium regional hospitals","2015–16","Emergency",2574,84,"83%"
"950","Kempsey District Hospital","Hospital","NSW","Medium regional hospitals","2016–17","Emergency",3130,80,"84%"
"951","Kempsey District Hospital","Hospital","NSW","Medium regional hospitals","2017–18","Emergency",3296,82,"84%"
"952","Kempsey District Hospital","Hospital","NSW","Medium regional hospitals","2018–19","Emergency",3348,83,"82%"
"953","Kempsey District Hospital","Hospital","NSW","Medium regional hospitals","2019–20","Emergency",2816,76,"81%"
"954","Kempsey District Hospital","Hospital","NSW","Medium regional hospitals","2011–12","Non-Urgent",1788,97,"92%"
"955","Kempsey District Hospital","Hospital","NSW","Medium regional hospitals","2012–13","Non-Urgent",1585,97,"94%"
"956","Kempsey District Hospital","Hospital","NSW","Medium regional hospitals","2013–14","Non-Urgent",1501,98,"94%"
"957","Kempsey District Hospital","Hospital","NSW","Medium regional hospitals","2014–15","Non-Urgent",2327,98,"95%"
"958","Kempsey District Hospital","Hospital","NSW","Medium regional hospitals","2015–16","Non-Urgent",2552,97,"95%"
"959","Kempsey District Hospital","Hospital","NSW","Medium regional hospitals","2016–17","Non-Urgent",2453,95,"95%"
"960","Kempsey District Hospital","Hospital","NSW","Medium regional hospitals","2017–18","Non-Urgent",1889,95,"94%"
"961","Kempsey District Hospital","Hospital","NSW","Medium regional hospitals","2018–19","Non-Urgent",2176,96,"94%"
"962","Kempsey District Hospital","Hospital","NSW","Medium regional hospitals","2019–20","Non-Urgent",2870,97,"94%"
"963","Kempsey District Hospital","Hospital","NSW","Medium regional hospitals","2011–12","Resuscitation",78,100,"99%"
"964","Kempsey District Hospital","Hospital","NSW","Medium regional hospitals","2012–13","Resuscitation",79,100,"100%"
"965","Kempsey District Hospital","Hospital","NSW","Medium regional hospitals","2013–14","Resuscitation",111,100,"100%"
"966","Kempsey District Hospital","Hospital","NSW","Medium regional hospitals","2014–15","Resuscitation",109,100,"99%"
"967","Kempsey District Hospital","Hospital","NSW","Medium regional hospitals","2015–16","Resuscitation",93,100,"100%"
"968","Kempsey District Hospital","Hospital","NSW","Medium regional hospitals","2016–17","Resuscitation",91,100,"99%"
"969","Kempsey District Hospital","Hospital","NSW","Medium regional hospitals","2017–18","Resuscitation",100,100,"100%"
"970","Kempsey District Hospital","Hospital","NSW","Medium regional hospitals","2018–19","Resuscitation",62,100,"100%"
"971","Kempsey District Hospital","Hospital","NSW","Medium regional hospitals","2019–20","Resuscitation",76,100,"100%"
"972","Kempsey District Hospital","Hospital","NSW","Medium regional hospitals","2011–12","Semi-Urgent",8206,87,"78%"
"973","Kempsey District Hospital","Hospital","NSW","Medium regional hospitals","2012–13","Semi-Urgent",8337,83,"82%"
"974","Kempsey District Hospital","Hospital","NSW","Medium regional hospitals","2013–14","Semi-Urgent",8378,91,"80%"
"975","Kempsey District Hospital","Hospital","NSW","Medium regional hospitals","2014–15","Semi-Urgent",9131,90,"81%"
"976","Kempsey District Hospital","Hospital","NSW","Medium regional hospitals","2015–16","Semi-Urgent",10518,87,"80%"
"977","Kempsey District Hospital","Hospital","NSW","Medium regional hospitals","2016–17","Semi-Urgent",11349,84,"79%"
"978","Kempsey District Hospital","Hospital","NSW","Medium regional hospitals","2017–18","Semi-Urgent",12947,79,"78%"
"979","Kempsey District Hospital","Hospital","NSW","Medium regional hospitals","2018–19","Semi-Urgent",12601,83,"77%"
"980","Kempsey District Hospital","Hospital","NSW","Medium regional hospitals","2019–20","Semi-Urgent",13425,85,"77%"
"981","Kempsey District Hospital","Hospital","NSW","Medium regional hospitals","2011–12","Urgent",8079,80,"78%"
"982","Kempsey District Hospital","Hospital","NSW","Medium regional hospitals","2012–13","Urgent",7909,76,"81%"
"983","Kempsey District Hospital","Hospital","NSW","Medium regional hospitals","2013–14","Urgent",7648,83,"80%"
"984","Kempsey District Hospital","Hospital","NSW","Medium regional hospitals","2014–15","Urgent",8129,83,"79%"
"985","Kempsey District Hospital","Hospital","NSW","Medium regional hospitals","2015–16","Urgent",8412,81,"77%"
"986","Kempsey District Hospital","Hospital","NSW","Medium regional hospitals","2016–17","Urgent",8968,79,"77%"
"987","Kempsey District Hospital","Hospital","NSW","Medium regional hospitals","2017–18","Urgent",9303,78,"75%"
"988","Kempsey District Hospital","Hospital","NSW","Medium regional hospitals","2018–19","Urgent",9212,78,"74%"
"989","Kempsey District Hospital","Hospital","NSW","Medium regional hospitals","2019–20","Urgent",9308,78,"72%"
